Open,Close,High,Low,Volume,Date
82.9,82.19,83.68,82.12,1,352,313.00,05/23/23
82.75,83.08,83.58,82.24,1,301,916.00,05/22/23
83.14,82.56,83.41,82.16,1,168,489.00,05/19/23
82.7,82.67,83.05,82,1,046,579.00,05/18/23
82.5,83.04,83.185,81.73,1,157,593.00,05/17/23
83.98,81.98,83.98,81.98,1,435,122.00,05/16/23
84.39,84.03,84.53,83.83,2,523,643.00,05/15/23
84.32,84.17,84.4,83.51,1,099,593.00,05/12/23
84.48,84.15,84.54,83.67,1,275,046.00,05/11/23
85.2,85.08,85.39,84.24,1,526,982.00,05/10/23
84.21,84.27,84.61,83.42,1,090,066.00,05/09/23
84.88,84.66,85.19,84.32,781,771.00,05/08/23
84.26,85.14,85.3,84.24,1,345,137.00,05/05/23
83.08,83.75,84.27,82.56,1,385,410.00,05/04/23
83.91,83.07,84.72,83.01,1,356,451.00,05/03/23
84.71,83.47,84.89,82.92,1,763,762.00,05/02/23
85.36,84.92,85.89,84.805,900,147.00,05/01/23
84.89,85.68,86.05,84.65,1,307,809.00,04/28/23
82.88,84.67,84.89,82.8,1,381,747.00,04/27/23
83.22,82.64,83.96,82.5,1,241,292.00,04/26/23
83.68,83.29,83.98,83.23,926,392.00,04/25/23
84.49,84.18,84.78,83.46,900,523.00,04/24/23
