Open,Close,High,Low,Volume,Date
156.99,155.45,157.64,155.4,1,539,903.00,05/23/23
157.01,157.78,158.18,156.8,1,276,522.00,05/22/23
157.59,157.48,157.86,156.955,1,386,337.00,05/19/23
154.58,157.55,157.77,154.58,2,094,222.00,05/18/23
153,154.39,154.65,152.3,1,648,803.00,05/17/23
151.99,152.36,153.19,151.99,1,251,291.00,05/16/23
151.1,152.2,152.22,150.555,817,263.00,05/15/23
151.41,150.95,151.63,149.795,809,636.00,05/12/23
151.58,151.15,151.58,150.1,955,086.00,05/11/23
151.31,151.83,152.18,150.37,1,255,157.00,05/10/23
150.33,150,150.61,149.85,859,245.00,05/09/23
150.95,151.16,151.26,150.23,809,821.00,05/08/23
148.97,151.24,151.75,148.78,1,343,294.00,05/05/23
147.66,147.54,148.52,146.95,1,419,189.00,05/04/23
149.69,148.25,150.66,148.18,1,226,942.00,05/03/23
151.06,149.51,151.27,148.73,1,327,698.00,05/02/23
150.71,150.92,151.64,150.53,969,332.00,05/01/23
149.21,150.83,150.855,149.05,1,476,200.00,04/28/23
146.8,149.21,149.31,146.45,1,562,543.00,04/27/23
146.5,146.11,147.62,145.76,1,773,249.00,04/26/23
146.39,143.97,146.66,143.92,1,317,061.00,04/25/23
