Open,Close,High,Low,Volume,Date
136.76,135.11,136.89,133.68,983,141.00,11/15/22
134.55,134.68,136.72,134.5,803,511.00,11/14/22
133.4,134.25,134.72,131.71,1,172,783.00,11/11/22
132.8,133.58,134.06,131.26,983,650.00,11/10/22
129.84,129.05,131.13,128.82,834,478.00,11/09/22
129.05,130.35,132.13,128.33,622,070.00,11/08/22
128.37,129.08,129.57,127.36,516,523.00,11/07/22
128.68,128.34,128.68,126.11,934,054.00,11/04/22
125.6,128.02,128.64,125.04,1,121,859.00,11/03/22
129.85,127.58,131.9,127.57,1,361,967.00,11/02/22
129.8,129.75,130.63,128.87,987,870.00,11/01/22
128.51,128.59,129.79,128.06,835,739.00,10/31/22
125.97,129.68,129.765,125.23,1,147,796.00,10/28/22
127.39,124.88,127.39,124.61,589,578.00,10/27/22
124.98,126.6,128.56,124.85,828,816.00,10/26/22
122.5,124.63,124.96,122.5,453,487.00,10/25/22
121.28,122.18,122.44,119.88,734,484.00,10/24/22
117.88,120.9,121.08,117.3,570,833.00,10/21/22
118.31,117.58,119.87,117.4,447,749.00,10/20/22
121.61,118.53,121.9,118,659,126.00,10/19/22
124.29,122.71,124.91,122.13,701,568.00,10/18/22
120.95,122.49,122.81,120.64,546,570.00,10/17/22
122.4,119.58,123.17,119.49,574,366.00,10/14/22
116.66,121.41,121.99,116.09,666,480.00,10/13/22
118.99,119.03,119.65,118.23,530,468.00,10/12/22
117.76,118.17,120.18,116.7,1,050,784.00,10/11/22
118.78,117.95,118.99,117.32,707,102.00,10/10/22
121.08,118.84,121.38,118.42,641,899.00,10/07/22
122.5,122.27,123.47,121.65,675,766.00,10/06/22
121.49,122.87,123.64,120.47,901,650.00,10/05/22
121.18,122.65,122.78,120.66,607,010.00,10/04/22
118.58,119.24,119.72,116.7,671,244.00,10/03/22
117.52,116.96,119.81,116.96,1,122,486.00,09/30/22
118.69,117.6,118.98,116.05,730,967.00,09/29/22
117.8,119.33,120.05,117.3,1,123,310.00,09/28/22
114.65,114.82,116.42,114.21,1,389,525.00,09/27/22
114.69,113.42,116.22,113.4,653,664.00,09/26/22
115.74,115.32,116.18,113.9,860,261.00,09/23/22
117.07,116.73,117.64,115.77,835,336.00,09/22/22
121.11,117.91,122.03,117.695,1,072,926.00,09/21/22
120.64,120.55,121.58,119.52,789,060.00,09/20/22
121.81,121.8,121.95,119.5,925,715.00,09/19/22
122.67,122.96,123.32,121.48,832,355.00,09/16/22
123.9,124.05,125.34,123.02,724,972.00,09/15/22
123.12,123.92,124.32,122.49,919,035.00,09/14/22
125.86,122.84,126.36,122.64,801,194.00,09/13/22
128.84,128.63,128.9,127.68,465,169.00,09/12/22
127.25,128.4,128.94,126.97,557,315.00,09/09/22
123.24,126.98,127.08,122.77,1,712,749.00,09/08/22
119.43,122.89,123.24,119.31,589,254.00,09/07/22
121.63,119.54,121.63,119.345,1,255,162.00,09/06/22
124.09,121.19,124.2,120.68,710,021.00,09/02/22
121.02,123.22,123.44,119.92,829,007.00,09/01/22
121.9,121.46,123.22,120.91,645,200.00,08/31/22
122.52,121.14,122.89,120.51,580,906.00,08/30/22
121.45,122.1,123.27,121.25,334,584.00,08/29/22
127.32,122.95,127.5,122.76,748,458.00,08/26/22
127.78,127.45,128.23,126.09,299,854.00,08/25/22
125.39,127.07,127.52,124.82,867,150.00,08/24/22
125.39,125.37,125.91,124,532,559.00,08/23/22
126.4,125.61,127.86,125.07,448,045.00,08/22/22
127.8,127.65,128.59,127.19,665,841.00,08/19/22
130.19,128.92,130.19,127.89,681,645.00,08/18/22
131.52,130.4,132.38,130.01,725,152.00,08/17/22
134.24,132.99,134.5,132.11,665,239.00,08/16/22
131.96,134.82,134.91,131.96,617,381.00,08/15/22
131.48,132.52,132.87,131.09,489,862.00,08/12/22
133.33,131.29,135.06,130.82,677,526.00,08/11/22
131.62,133.04,133.05,130.59,645,194.00,08/10/22
131.07,129.91,131.97,128.82,736,710.00,08/09/22
131.93,132.03,133.25,130.69,985,374.00,08/08/22
128.46,131.44,131.53,127.6,786,401.00,08/05/22
128.13,130.18,130.53,127.82,493,457.00,08/04/22
125.48,127.33,128.61,125.37,913,993.00,08/03/22
121.37,122.63,123.96,121.26,576,266.00,08/02/22
123.45,122.27,124.16,121.92,685,551.00,08/01/22
123.95,124.08,124.24,122.79,562,572.00,07/29/22
124.32,124.12,124.86,121.21,674,853.00,07/28/22
122.94,124,124.7,121.83,747,091.00,07/27/22
122.37,122.87,124.12,121.36,551,511.00,07/26/22
122.89,122.62,123.04,121.45,557,265.00,07/25/22
125.18,122.62,126.35,122.09,577,229.00,07/22/22
124.03,125.1,125.7,123.7,558,447.00,07/21/22
123.74,123.94,125.52,122.88,542,632.00,07/20/22
121.85,123.62,123.9,121.18,533,272.00,07/19/22
124.24,120.52,124.65,119.89,451,207.00,07/18/22
122.32,123.25,123.4,120.6,797,724.00,07/15/22
122.45,121.47,122.68,120.43,644,638.00,07/14/22
121.5,123.55,124.64,121.42,599,542.00,07/13/22
124.05,123.5,124.59,121.73,598,227.00,07/12/22
125.81,124.31,126.36,124.04,538,066.00,07/11/22
124.93,126.66,127.15,124.58,551,537.00,07/08/22
123.03,125.82,126.06,122.85,938,051.00,07/07/22
122.75,122.79,124.1,121.97,797,019.00,07/06/22
